bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	bcr_shipment_portion_uuid	center_id	is_ffpe	plate_id	portion_number	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment
CDE_ID:2673864				CDE_ID:4170557					
TCGA-66-2770-01A	TCGA-66-2770-01A-21-2193-20	e858ee92-0438-48e9-a70d-80ef2c0ad539	20	NO	2193	21	5	3	2012
TCGA-66-2778-01A	TCGA-66-2778-01A-11-2193-20	f5dca0d5-550d-4107-b6ad-9d347a39afa5	20	NO	2193	11	5	3	2012
TCGA-66-2781-01A	TCGA-66-2781-01A-21-2193-20	b307a0f2-a455-4b20-b866-8da02f3d8fd4	20	NO	2193	21	5	3	2012
TCGA-66-2782-01A	TCGA-66-2782-01A-21-2193-20	6cafe140-32f0-40b7-8d8b-60e7c76e4c0c	20	NO	2193	21	5	3	2012
TCGA-66-2785-01A	TCGA-66-2785-01A-21-2193-20	a8bd2e87-dee1-4801-8742-25eacf7d7484	20	NO	2193	21	5	3	2012
TCGA-37-3789-01A	TCGA-37-3789-01A-21-2193-20	25a5c25c-2520-4a48-8f96-4b1798af4de6	20	NO	2193	21	5	3	2012
TCGA-37-3792-01A	TCGA-37-3792-01A-21-2193-20	f7e9d4d4-3b43-4f96-aaaf-75dbc77f68d4	20	NO	2193	21	5	3	2012
TCGA-43-3394-01A	TCGA-43-3394-01A-21-2193-20	16838c14-8069-48d4-b57a-f06db613503b	20	NO	2193	21	5	3	2012
TCGA-66-2727-01A	TCGA-66-2727-01A-21-2193-20	d494adb7-9e76-4717-b142-47521c544e9a	20	NO	2193	21	5	3	2012
TCGA-66-2737-01A	TCGA-66-2737-01A-41-2193-20	46aec886-20f0-47f3-ba36-3ba0b036f764	20	NO	2193	41	5	3	2012
TCGA-66-2788-01A	TCGA-66-2788-01A-21-2193-20	c1620625-664d-4fec-9ddc-ace245378ca7	20	NO	2193	21	5	3	2012
TCGA-66-2790-01A	TCGA-66-2790-01A-21-2193-20	03a83493-5aa7-4c60-9fb0-9d4112d0fec2	20	NO	2193	21	5	3	2012
TCGA-66-2791-01A	TCGA-66-2791-01A-21-2193-20	cd4f93c9-f2fe-4271-ab18-78e528cfb9ad	20	NO	2193	21	5	3	2012
TCGA-66-2795-01A	TCGA-66-2795-01A-11-2193-20	e145986b-e6d4-4e31-bf1e-b242af22f436	20	NO	2193	11	5	3	2012
TCGA-37-4129-01A	TCGA-37-4129-01A-21-2193-20	8db5bd89-429b-4872-9ca0-fb72e95cf504	20	NO	2193	21	5	3	2012
TCGA-37-4133-01A	TCGA-37-4133-01A-21-2193-20	759891ff-ab70-4687-bd59-b6df4d18f93f	20	NO	2193	21	5	3	2012
TCGA-37-4135-01A	TCGA-37-4135-01A-21-2193-20	7cdeb372-38d2-46a5-a868-cac875e0c524	20	NO	2193	21	5	3	2012
TCGA-37-4141-01A	TCGA-37-4141-01A-11-2193-20	b464e455-cab7-456b-89dc-ca193fd7a25f	20	NO	2193	11	5	3	2012
TCGA-22-4591-01A	TCGA-22-4591-01A-21-2193-20	5be370a5-e710-4625-8781-43856b8e39af	20	NO	2193	21	5	3	2012
TCGA-22-4596-01A	TCGA-22-4596-01A-21-2194-20	4f5b1160-c56c-4696-90a5-2dffc0569b5f	20	NO	2194	21	5	3	2012
TCGA-22-4607-01A	TCGA-22-4607-01A-21-2194-20	79c272f1-478c-4a0a-845f-ba113df49b55	20	NO	2194	21	5	3	2012
